Source;Target;Weight;Label;Type
KINGFISHER;CA;2;2;undirected
LLOYDS BANKING GROUP;CA;3;3;undirected
MARKS AND SPENCER GROUP;CA;3;3;undirected
MEGGITT;CA;3;3;undirected
NATIONAL GRID;CA;1;1;undirected
OLD MUTUAL;CA;2;2;undirected
PEARSON;CA;6;6;undirected
RANDGOLD RESOURCES;CA;2;2;undirected
RECKITT BENCKISER GROUP;CA;3;3;undirected
REED ELSEVIER GROUP;CA;6;6;undirected
RIO TINTO;CA;46;46;undirected
ROLLS-ROYCE GROUP;CA;5;5;undirected
ROYAL DUTCH SHELL;CA;42;42;undirected
RSA INSURANCE GROUP;CA;62;62;undirected
SABMILLER;CA;3;3;undirected
SERCO GROUP;CA;3;3;undirected
SHIRE;CA;5;5;undirected
SMITH & NEPHEW;CA;2;2;undirected
SMITHS GROUP;CA;6;6;undirected
STANDARD CHARTERED;CA;1;1;undirected
STANDARD LIFE;CA;24;24;undirected
TATE & LYLE;CA;1;1;undirected
TESCO;CA;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;CA;3;3;undirected
THE SAGE GROUP;CA;2;2;undirected
THE WEIR GROUP;CA;4;4;undirected
UNILEVER;CA;3;3;undirected
VODAFONE GROUP;CA;1;1;undirected
WOLSELEY;CA;3;3;undirected
WPP;CA;32;32;undirected
XSTRATA;CA;37;37;undirected
AGGREKO;CA;1;1;undirected
AMEC ;CA;31;31;undirected
ANGLO AMERICAN;CA;7;7;undirected
ASSOCIATED BRITISH FOODS ;CA;2;2;undirected
